id;r1;r2;r3;r4;r5;r6;r7;r8;r9;r10;r11;r12;date
1293;19;22;27;40;43;44;16;20;24;27;34;40;07/09/2013
1294;8;9;23;38;39;40;1;8;10;13;22;42;11/09/2013
1295;9;19;23;35;39;44;2;6;9;17;21;43;14/09/2013
1296;2;20;26;37;40;45;4;14;16;22;29;32;18/09/2013
1297;3;17;22;24;36;42;1;11;19;32;33;40;21/09/2013
1298;4;9;10;23;27;32;7;23;25;28;31;32;25/09/2013
1299;1;11;14;31;36;40;19;21;26;28;31;35;28/09/2013
1300;7;17;33;37;39;41;3;6;8;9;12;43;02/10/2013
1301;4;22;28;32;35;43;4;16;35;38;41;44;05/10/2013
1302;4;7;24;30;39;44;7;25;26;30;31;41;09/10/2013
1303;12;15;18;21;29;41;3;5;13;19;25;36;12/10/2013
1304;10;17;30;35;37;41;15;22;29;32;35;36;16/10/2013
1305;2;11;19;30;33;38;8;10;17;20;23;44;19/10/2013
1306;23;25;30;38;44;45;2;9;20;33;35;41;23/10/2013
1307;7;9;12;14;19;44;2;7;11;28;34;45;26/10/2013
1308;20;24;26;27;40;41;3;15;22;32;33;38;30/10/2013
1309;11;19;26;30;34;40;18;23;24;25;40;42;02/11/2013
1310;2;11;14;34;37;39;18;22;29;34;35;40;06/11/2013
1311;2;9;17;19;36;45;15;31;32;35;37;41;09/11/2013
1312;1;9;32;35;36;39;8;10;17;22;35;40;13/11/2013
1313;5;7;9;25;32;39;10;13;16;18;35;43;16/11/2013
1314;3;15;18;29;33;42;11;14;28;29;38;41;20/11/2013
1315;4;8;28;29;37;41;2;16;18;36;37;42;23/11/2013
1316;6;11;30;37;42;45;5;15;29;34;44;45;27/11/2013
1317;11;15;24;25;33;41;2;10;24;25;35;41;30/11/2013
1318;6;7;13;33;37;39;8;20;21;23;33;42;04/12/2013
